〇	981
㐀	0
㐁	1
㐅	1
㐖	0
㐡	0
㐤	0
㑩	0
㒖	0
㓥	0
㓦	0
㔉	0
㔩	0
㕑	90
㖊	0
㖞	0
㛟	0
㟆	0
㠏	0
㧑	0
㧟	0
㩵	268
㱩	0
㱮	0
㲿	0
㳠	0
㴖	0
㶉	0
㶶	0
㶽	0
㸸	0
㹴	0
㺍	0
㻞	0
䁖	0
䅉	0
䇦	0
䇲	0
䌈	0
䌷	0
䌸	0
䌹	0
䌼	0
䌽	0
䍀	0
䍁	0
䓕	0
䓨	0
䗖	0
䙓	0
䜣	0
䜧	0
䝙	0
䞐	0
䥺	0
䥽	0
䦃	0
䦅	0
䩄	0
䯄	0
䰾	450
䲁	342
䲟	0
䲠	0
䲡	0
䲢	0
䴉	400
䴓	0
䴔	0
䴕	0
䴖	0
䴗	0
䴘	0
䴙	0
一	135314
一一	2868
一丁點	788
一下	95120
一下下	900
一下吧	1485
一下子	4704
一不	750
一不小心	1378
一世	1297
一中	1403
一串	1258
一串串	725
一九	730
一九八	713
一乾二淨	765
一事	1813
一事無成	759
一二	1298
一些	70271
一些事情	1079
一些人	2163
一些問題	1423
一些東西	1155
一亮	1167
一人	5437
一介	740
一代	4611
一代人	1075
一件	6738
一件事	2239
一件事情	1483
一件件	758
一任	812
一份	10964
一位	13973
一併	1442
一來	1618
一例	1179
一個	374279
一個人	935
一個人住	729
一個人走	830
一個個	792
一個勁	1123
一個女生	886
一個月	837
一個月內	917
一個月後	940
一倍	1705
一側	1335
一億	990
一元	1198
一元錢	736
一兩	1433
一共	4826
一具	982
一再	2045
一出	2000
一刀	1535
一刀切	712
一分	2419
一分爲二	749
一分鐘	754
一切	23018
一切都	841
一切都是	1443
一列	929
一到	1741
一刻	2407
一則	1480
一剎那	1132
一剛	763
一副	3260
一劍	1066
一劑	765
一劫	762
一動	1187
一動不動	963
一勞永逸	711
一勺	733
一包	1382
一匹	1059
一區	1065
一千	2419
一千多	1039
一千萬	813
一半	7796
一卡	724
一卡通	1114
一去	1052
一口	3616
一口一口	1454
一口價	877
一口氣	2508
一句	8643
一句話	5761
一同	2453
一名	7702
一向	3279
一吹	716
一吻	752
一味	1981
一命	790
一品	974
一員	982
一問	1141
一噸	734
一回	3276
一回事	1398
一圈	2683
一國	1021
一團	1649
一團糟	734
一地	1113
一坐	790
一城	795
一堂	1001
一堆	4148
一場	8404
一場夢	781
一塊	8322
一塊兒	1054
一塊塊	724
一塊錢	962
一塌糊塗	1566
一壺	920
一夜	2796
一夜之間	1083
一夜情	1537
一夜暴富	701
一夥	1146
一大	4066
一大半	861
一大堆	2254
一大批	705
一大早	1343
一天	18744
一天一天	800
一天到晚	1140
一天天	1178
一夫	773
一套	7775
一女	944
一如	1317
一如既往	1446
一字	1234
一季	1010
一季度	1744
一宗	765
一定	56966
一定是	796
一定會	830
一定有	720
一定程度	2406
一定能	729
一定要	881
一定要把	1015
一定要看	805
一定量	767
一室	920
一室一廳	791
一家	14554
一家人	750
一家子	752
一宿	804
一審	1229
一審判決	848
一寸	1145
一封	1930
一封信	1279
一尊	822
一對	3680
一對一	1107
一小	1840
一小撮	706
一小時	724
一尺	806
一局	1000
一居	847
一屆	1470
一展	743
一層	3706
一山	795
一己	783
一帆風順	949
一帖	787
一席	781
一席之地	903
一席話	722
一帶	2177
一幅	2214
一幅幅	744
一幅畫	770
一幕	1989
一幕幕	885
一幢	1014
一幫	1870
一干	901
一平	874
一年	14705
一年一度	1002
一年來	952
一年內	1036
一年前	1181
一年半	1047
一年四季	880
一年多	1712
一年後	1102
一年期	781
一年的	1552
一年級	729
一度	3214
一座	3315
一座座	747
一廂情願	941
一廳	890
一式	767
一張	12392
一張張	942
一張照片	915
一張牀	807
一張紙	910
一律	2330
一心	1635
一心一意	916
一念	890
一怔	803
一想	1251
一意孤行	711
一愣	1028
一應俱全	870
一成	882
一成不變	870
一截	854
一戰	1120
一戶	1083
一所	1881
一扇	984
一扇門	733
一手	2774
一打	919
一扔	703
一批	5836
一技之長	719
一把	6746
一把刀	713
一把手	1045
一抖	729
一抹	1247
一拉	799
一拍	922
一拖	753
一招	1382
一拳	998
一拼	840
一指	851
一捲	1017
一掃	833
一掌	824
一排	1458
一排排	753
一推	801
一提	931
一揮	896
一摸	821
一撥	858
一擊	1080
一攬子	753
一支	3949
一支菸	825
一改	1163
一放	788
一整	805
一整天	1271
一整套	1004
一文	1035
一文不值	708
一斤	1475
一新	716
一方	3414
一方面	810
一旁	1933
一族	1761
一日	2448
一日三餐	733
一日遊	983
一旦	8541
一早	1809
一是	6905
一時	4351
一時間	1459
一晃	1005
一晚	1484
一曲	1319
一書	1129
一會	12452
一會兒	6205
一月	1837
一月份	730
一望	792
一望無際	761
一朝	833
一朝一夕	702
一期	2888
一本	4530
一本書	733
一本正經	892
一朵	1646
一朵花	863
一杆	764
一村	830
一束	1087
一杯	2494
一杯水	764
一杯酒	755
一枚	1600
一枝	1018
一枝獨秀	735
一架	1456
一查	924
一株	990
一根	3636
一根菸	718
一格	924
一案	1028
一桌	1051
一桶	921
一條	11873
一條條	845
一條狗	750
一條線	824
一條腿	802
一條街	1059
一條路	1087
一條魚	725
一條龍	933
一棟	1220
一棵	1532
一棵樹	1020
一概	1087
一槍	1060
一樁	960
一樓	1950
一模一樣	1583
一樣	65596
一樣嗎	764
一樹	731
一檔	960
一欄	949
一次	34106
一次又一次	719
一次性	2805
一次會議	866
一次次	1762
一款	5285
一步	3944
一步一步	1368
一步到位	790
一步步	1477
一歲	1337
一死	869
一段	8833
一段時間	5340
一段話	1014
一比	914
